Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
"As a user, I want to place my order and complete the payment after entering valid payment details so that my order can be successfully processed and confirmed.",GAZARA-27,10137,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-31 12:09,2025-07-31 12:09,,,,0,"* The “Place Order” button becomes active *only when* all required payment fields are valid
* When payment is processed successfully:
** The user is redirected to an *Order Confirmation Page*.
** A success message is shown:
**“Your order has been placed successfully!”*

*Failed Transaction Handling (Card Payment):*

* If payment fails:
** A clear error message is shown (e.g., *“Payment could not be processed. Please check your card details or try again.”*).
** The user remains on the same screen with previously entered data retained.",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007z:,,,,,,,,,,,,,,10077,GAZARA-12,Payment,To Do,2025-07-31 12:09
"As a user, I want to choose between cash on delivery or paying by card during checkout so that I can use my preferred payment method.",GAZARA-26,10135,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-31 11:49,2025-07-31 11:52,2025-07-31 11:50,,,0,"* Two clearly labeled options must be displayed:
** *Cash on Delivery*
** *Pay by Card*
* Users can only select cash on delivery if they have previously completed at least one order by card.
* For card payments, users must enter the card number, name on the card, expiry date, and security code.
* *For card Number:*
** Must be a numeric string with 16 digits.
** Accepted card types (Visa, Mastercard, etc.) should be detected and displayed dynamically based on the first 4 digits.
** Should pass *Luhn’s Algorithm* for credit card number validation.
** Display the input as ""**** **** **** 1234"" for security.
* *Name on Card*
** Must be a non-empty string.
** Allowed characters: alphabets (A-Z, a-z), spaces, and hyphens.
** Minimum length: 2 characters.
** Maximum length: 50 characters.
** *Error Messages:*
*** ""Name cannot be empty. Please enter the name exactly as it appears on your card.""
*** ""Invalid characters detected. Please use letters, spaces, or hyphens only.""
* *Expiry Date*
** Format: MM/YY.
** Must be a valid future date.
** Month (MM) should range from 01 to 12.
** Year (YY) should not be in the past.
** Automatically format the input as ""MM/YY"" as the user types.
** *Error Messages:*
*** ""Invalid expiry date. Please use MM/YY format.""
*** ""Expiry date cannot be in the past.""
*** ""Month must be between 01 and 12.""
* 
* *Security Code (CVV)*
** Must be a numeric string with 3 or 4 digits (depending on the card type).
** Only numbers are allowed.
** Mask input as ""***"" for security.
** *Error Messages:*
*** ""Invalid CVV. Please enter a 3 or 4-digit security code.""
* *Card type logo*
** users enter the first four digits of their card number, the card type (e.g., Visa, Mastercard) should display dynamically within the card number field.",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007r:,,,,,,,,,,,,,,10077,GAZARA-12,Payment,To Do,2025-07-31 11:49
"As a user, I want to enter my delivery details during checkout so that my order can be accurately processed and delivered to the correct location.",GAZARA-25,10133,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-31 11:06,2025-07-31 11:06,,,,0,"* The checkout page must contain clearly labeled and required fields for:
** First Name (alphabets only)
** Last Name (alphabets only)
** Phone Number (Egyptian number format or international)
** Address (text field)
** Region (drop-down selection)
** Postal Code (numbers only)
* Each field should display a validation message if left empty or incorrectly formatted.
** Example: ""Phone number is required"" or ""Postal code must contain only numbers.""
* *""Save and Continue""* button should:
** Validate and save the input.
** Redirect the user to the next step (e.g., payment).
* Users see a summary of the details with an option to edit them if needed after saving delivery information.",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007j:,,,,,,,,,,,,,,10070,GAZARA-5,Cart & Checkout,To Do,2025-07-31 11:06
"As a user, I want a ""View Cart"" button to appear in the side notification after adding an item, so that I can immediately review or modify my cart items.",GAZARA-24,10119,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-30 17:27,2025-07-30 17:27,2025-07-31 10:47,,,0,"* The side pop-up notification must include a *""View Cart""* button, clearly visible and styled as a clickable element.
* Clicking *""View Cart""* should:
** Redirect the user to the *Cart Page*.
** Ensure all items added are accurately displayed in the cart.
* If the cart is empty (in case of unexpected error), the redirection should show a message like *“Your cart is currently empty”*.",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007b:,,,,,,,,,,,,,,10070,GAZARA-5,Cart & Checkout,To Do,2025-07-30 17:27
"As a user, I want a side notification to appear when I add an item to my cart so that I receive instant confirmation of the item being added, along with its details.",GAZARA-23,10117,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-30 17:23,2025-07-30 17:23,,,,0,"* clicking the ""Add to Cart"" button on an item, a side pop-up (toast notification or slide-in) appears on the screen.
* Notification appears on the *right side* of the screen (or per design layout).",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00073:,,,,,,,,,,,,,,10071,GAZARA-6,Product Browsing & Discovery,To Do,2025-07-30 17:23
"As a user I want to sign up via Google, Facebook, or email So that to provide flexible and convenient registration options",GAZARA-22,10115,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-30 17:19,2025-07-30 17:19,,,,0,"* The sign-up page must display three options:
** *Continue with Google*
** *Continue with Facebook*
** *Sign up with email*
* Clicking Google or Facebook initiates the corresponding OAuth flow.
* 

*Field Verification for Email Signup:*

* First Name: Required; accepts alphabets only.
* Last Name: Required; accepts alphabets only.
* Email: Required; valid email format.
* Password: Required; minimum 8 characters, must include numbers and letters.",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006v:,,,,,,,,,,,,,,10067,GAZARA-2,User Registration & Authentication,To Do,2025-07-30 17:19
"As a non-logged-in user, I want to be prompted to log in before I can add items to the cart, view my cart, or proceed to checkout so that my actions are tied to my account for a secure and personalized shopping experience.",GAZARA-21,10113,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-30 17:09,2025-07-30 17:09,2025-08-02 16:49,,,0,"* A non-logged-in user clicks “Add to Cart,” a login/signup prompt appears.
* The user is redirected to the login/signup page.
* After successful login, the user returns to the original item page.
* A non-logged-in user clicks “Proceed to Check out,” they are redirected to login/signup first.",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006n:,,,,,,,,,,,,,,10067,GAZARA-2,User Registration & Authentication,To Do,2025-07-30 17:09
"As a user i want to see Shop Now button at the home page that redirects to the ""Shop All"" page So that I can easily start shopping",GAZARA-20,10111,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-30 16:41,2025-07-30 16:41,,,,0,"* Clicking on ""Shop Now"" button redirects the user to the ""Shop All"" page.",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006f:,,,,,,,,,,,,,,10066,GAZARA-1,UI layout and navigation,To Do,2025-07-30 16:41
As a user I want to see images of random recommended items as I scroll down the home page so that I can discover new or popular products I might be interested in.,GAZARA-19,10109,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-30 16:31,2025-07-30 16:31,,,,0,"* Images of random recommended items display at the end of home page
* Images of random recommended items contain showcasing popular or curated items.
* Clicking on an item navigates the user to that item's detail page.",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00067:,,,,,,,,,,,,,,10066,GAZARA-1,UI layout and navigation,To Do,2025-07-30 16:31
"As a user I want to see ""Home"", ""Vegetables,"" ""Fruits,"" ""Meat,"" and ""Shop All."" on the third bar So that it can be easy access to key sections of the website for smooth browsing.",GAZARA-18,10107,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-30 15:47,2025-07-30 16:58,2025-07-30 16:53,,,0,"* The third bar contains the main navigation links: ""Home"", ""Vegetables,"" ""Fruits,"" ""Meat,"" and ""Shop All.""
* The ""Home"" link is bolded when the user is on the homepage.
* The navigation bar and its links are fully visible and usable on different screen sizes (mobile, tablet, desktop).

* Clicking on 
** “*Vegetables*” display all vegetable items, including details such as price, weight, image, and name.
**  ""*Fruits*"" display all fruit items, including details such as price, weight, image, and name.
**  ""*Meat*"" displays all meat items, including details such as price, weight, image, and name.
**  ""*Shop All*"" display a combined list of all available items across categories in one place.
",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005z:,,,,,,,,,,,,,,10066,GAZARA-1,UI layout and navigation,To Do,2025-07-30 15:47
"As a user I want to see the logo, a search bar, and account access options (Signup/Login) on the second top bar So that I can recognize the brand, search for products, and easily access or create my account",GAZARA-17,10105,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-30 15:37,2025-07-30 15:37,2025-07-31 10:47,,,0,"* The *brand logo* is displayed on the *left side* of the second top bar.
* A *search bar* is positioned in the *center* of the bar and allows text input with suggestions (if applicable).
* *""Signup/Login"" buttons* are present on the *right side*, visible and clickable.
* The entire layout is *responsive* and adapts well to different screen sizes (mobile, tablet, desktop).
* Clicking the logo *redirects to the home page*.
* The search bar allows input and displays *relevant results or suggestions*.",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005r:,,,,,,,,,,,,,,10066,GAZARA-1,UI layout and navigation,To Do,2025-07-30 15:37
As a User I want a promotional message displayed in the center of the top bar So that I can be aware of current deals and promotions,GAZARA-16,10103,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-30 15:22,2025-07-30 16:41,,,,0,"* promotional message appears in the center of the top bar.
* The message is *accurate*, *up-to-date*, and *aligned with active promotions*.
* the text is correct and is clearly visible and readable across different screen sizes.",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00061:,,,,,,,,,,,,,,10066,GAZARA-1,UI layout and navigation,To Do,2025-07-30 15:22
"  As a User I want to reach ""About, Contact, and Find Us"" Buttons So that It provides learning more about the brand, contacting support, and the business locations",GAZARA-15,10101,Story,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-30 15:13,2025-07-30 16:41,2025-07-30 16:53,,,0,"* The ""About Us, Contact, Find Us"" buttons are present on the top bar of the home page.
* Each button is *clearly labeled* and *clickable*.
* Clicking on:
** *""About Us""* opens the page with brand information.
** *""Contact""* opens a page with support options (e.g., form, phone, email).
** *""Find Us""* opens a map or list of store locations.",,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00063:,,,,,,,,,,,,,,10066,GAZARA-1,UI layout and navigation,To Do,2025-07-30 15:13
Analytics & Reporting,GAZARA-13,10078,Epic,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-29 22:41,2025-07-29 22:41,,,,0,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004b:,,,,,,,,,,,,,,,,,To Do,2025-07-29 22:41
Payment,GAZARA-12,10077,Epic,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-29 22:32,2025-07-29 22:32,2025-08-02 17:09,,,0,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00053:,,,,,,,,,,,,,,,,,To Do,2025-07-29 22:32
Notifications & Alerts,GAZARA-11,10076,Epic,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-29 22:28,2025-07-29 22:28,,,,0,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004v:,,,,,,,,,,,,,,,,,To Do,2025-07-29 22:28
Settings & Customization,GAZARA-10,10075,Epic,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-29 22:23,2025-07-29 22:23,,,,0,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004n:,,,,,,,,,,,,,,,,,To Do,2025-07-29 22:23
Security & Access Control,GAZARA-9,10074,Epic,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-29 22:22,2025-07-29 22:22,,,,0,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004f:,,,,,,,,,,,,,,,,,To Do,2025-07-29 22:22
Error Handling & Empty States,GAZARA-8,10073,Epic,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-29 22:21,2025-07-29 22:21,,,,0,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00047:,,,,,,,,,,,,,,,,,To Do,2025-07-29 22:21
Admin Panel & Dashboard,GAZARA-7,10072,Epic,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-29 22:20,2025-07-29 22:20,,,,0,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003z:,,,,,,,,,,,,,,,,,To Do,2025-07-29 22:20
Product Browsing & Discovery,GAZARA-6,10071,Epic,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-29 22:20,2025-07-29 22:20,2025-07-30 16:11,,,0,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003r:,,,,,,,,,,,,,,,,,To Do,2025-07-29 22:20
Cart & Checkout,GAZARA-5,10070,Epic,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-29 22:19,2025-07-29 22:19,,,,0,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003j:,,,,,,,,,,,,,,,,,To Do,2025-07-29 22:19
User Profile & Account Management,GAZARA-4,10069,Epic,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-29 22:19,2025-07-29 22:19,,,,0,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0003b:,,,,,,,,,,,,,,,,,To Do,2025-07-29 22:19
Roles and Permissions,GAZARA-3,10068,Epic,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-29 22:10,2025-07-29 22:10,,,,0,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00033:,,,,,,,,,,,,,,,,,To Do,2025-07-29 22:10
User Registration & Authentication,GAZARA-2,10067,Epic,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-29 22:07,2025-07-29 22:07,2025-08-02 17:37,,,0,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0002v:,,,,,,,,,,,,,,,,,To Do,2025-07-29 22:07
UI layout and navigation,GAZARA-1,10066,Epic,To Do,GAZARA,Gazara,software,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,Medium,,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,2025-07-29 22:04,2025-07-30 15:38,2025-08-02 17:06,,,0,,,mohamed dyaa,712020:8c2caf57-fda1-4dda-898e-8ff58daaac7b,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i0002n:,,,,,,,,,,,,,,,,,To Do,2025-07-29 22:04
